,Time,User,Tweet
0,2023-04-15 07:15:00+00:00,RVCJ_FB,Adulthood Is... https://t.co/9YYaZxzHji
1,2023-04-15 07:01:03+00:00,FCBarcelona,"Gâš½ï¸AL OF THE DAY
8ï¸âƒ£ years from the @LuisSuarez9 epic show ğŸ†š PSG ğŸ© https://t.co/fieLJXJkwU"
2,2023-04-15 06:59:45+00:00,RVCJ_FB,Covid cases https://t.co/VcUqV4c9nt
3,2023-04-15 06:45:00+00:00,RVCJ_FB,Shubho Naboborsha! â™¥ï¸ https://t.co/m4TAhXxH3q
4,2023-04-15 06:15:52+00:00,RVCJ_FB,Puducherry Incident! https://t.co/y3CKy5PvOA
5,2023-04-15 06:05:25+00:00,RVCJ_FB,https://t.co/ZGlagqqyrN
6,2023-04-15 05:55:44+00:00,RVCJ_FB,Dr. B.R. Ambedkar Equality Day! https://t.co/e4pAlMvgoO
7,2023-04-15 05:53:21+00:00,RVCJ_FB,Happy Rongali Bihu and Assamese New Year ğŸ’– https://t.co/0wGueN5zLt
8,2023-04-15 05:34:13+00:00,Valist_io,"RT @Valist_io: Centralized platforms like Steam bring an antiquated process of reviewing, checking, and giving approval to the developer beâ€¦"
9,2023-04-15 05:17:10+00:00,RVCJ_FB,Mia Khalifa with Wiz Khalifa ğŸ˜‚ğŸ˜‚ https://t.co/sJI4MGTEiA
10,2023-04-15 05:05:35+00:00,RVCJ_FB,Why Fear When Mom Is Here â™¥ï¸ https://t.co/rdWNQXWuXS
11,2023-04-15 04:55:38+00:00,RVCJ_FB,Nicholas Pooran on Rishabh Pant https://t.co/Mnp5AOC5bH
12,2023-04-15 04:45:49+00:00,RVCJ_FB,"Double Header!
#IPL2023 #RCBvDC #LSGvPBKS https://t.co/9eQ6QgztCV"
13,2023-04-15 03:50:28+00:00,ETHIndiaco,"RT @Kautukkundan: ğŸš¨ Looking for Scaling enthusiasts at @0xStackr ğŸš¨ 

Hiring across 4 roles-
ğŸ”¬Head of engineering and research
â›“ï¸Founding Enâ€¦"
14,2023-04-15 03:48:32+00:00,ETHIndiaco,RT @srijancse: onchain cheer ft. @eas_eth @arbitrum
15,2023-04-15 03:36:13+00:00,Valist_io,I TOLD YOU TO SELL!! https://t.co/w935LQ484P
16,2023-04-15 03:00:04+00:00,Avax,RT @xo_poseidon: Great discussion today at Crypto Forum CT btwn @John1wu &amp; @perkinscr97 on how blockchain (&amp; @Avax) is driving the next genâ€¦
17,2023-04-15 03:00:04+00:00,Avax,RT @jimballingall: Roll call - whoâ€™s joining me at #AvalancheSummit II May 3-5 in Barcelona?! Iâ€™ll be speaking alongside top leaders and inâ€¦
18,2023-04-15 02:01:23+00:00,FCBarcelona,"Friday's training highlights!
ğŸ”Š ğ•Šğ• ğ•¦ğ•Ÿğ•• ğ•†ğ•Ÿ ğŸ”Š https://t.co/NkqkCDBxHF"
